translation,Region,Province,Comune
Ma vostra nona vla fa nan la pulanta tute el smane?,Piemonte,Cuneo,Fossano
Ma tua nona la fa nen la polenta tut le smane,Piemonte,Cuneo,Fossano
Ma vosta nona a vra fa nen a pulenta tute smane?,Piemonte,Cuneo,Margarita
..,Piemonte,Cuneo,Mondovì
Tua nona a fa nen la pulenta tute 'l smane ?,Piemonte,Cuneo,Mondovì
a,Piemonte,Cuneo,Monesiglio
Ma vosta nona la fa pa la pulenta tute le smane?,Piemonte,Cuneo,Paesana
Ma vostra nona v'la fa nen la polenta tute le smane? ,Piemonte,Cuneo,Racconigi
Ma vösta nona non ve la fa la pulenta tüte le smane?,Piemonte,Cuneo,Roccavione
Ma vostro ieio fa pas la pulento tute le smane,Piemonte,Cuneo,Saluzzo
Ma vöstra nöna a fà nèn la pòlenta tüte le smane a vi-jaiti?,Piemonte,Cuneo,Savigliano
Ma vostra nonna a v la fa nen la polenta tute le smanne?,Piemonte,Cuneo,Vicoforte
Ma vosträ   nonä av la fa no la pulentä tücc i smèn?,Piemonte,Novara,Borgolavezzaro
Ma vostra nonä av la fa mia la pulenta tücc i sman?,Piemonte,Novara,Borgolavezzaro
Ma la vosträ nonä a v'la fa no la pulentä tuc i smen?,Piemonte,Novara,Borgolavezzaro
Ma la vostra nona num ve fa la pulenta tucii i smani?,Piemonte,Novara,Cressa
non lo so,Piemonte,Novara,Galliate
Ma la vòstra nòna a vla fa mia la pulénta tüt' i smani?,Piemonte,Novara,Novara
(A Borgolavezzaro) Ma vossä nonä av la fà no la pulentä tücc i smènn?  fà,Piemonte,Novara,Novara
Ma la nona av la fa mia la pulenta tüti smani?,Piemonte,Novara,Novara
Ma la vostra nona a v'la fa mia la pulenta tüti i smani?,Piemonte,Novara,Novara
Ma la to nona at la fa mia la pulenta tüti i smani?,Piemonte,Novara,Novara
Ma la vostra nöna av la fà mia la pulenta tüti i smani?,Piemonte,Novara,Novara
Non lo so scrivere,Piemonte,Novara,Novara
Ma vosträ nonä av la fà miä tücc i sman la pulentä?,Piemonte,Novara,Tornaco
Ma vosta nonä av la fa miä la pulentä tücc i smani?,Piemonte,Novara,Tornaco
Ma ara vosta nona a fava mia ara pulenta tucc i smón?,Piemonte,Novara,Trecate
Ma la vustra nona ve fa nen la pölenta tute le setmane?,Piemonte,Torino,Andezeno
Ma sua nona fa ben la pulente tute le smane?,Piemonte,Torino,Baldissero Torinese
Ma vosa nona a l'ha mai fet la pulenta tute ie stmane,Piemonte,Torino,Borgofranco d'Ivrea
ma tùa nonà nun ve cüsina la pulenta tute le düminiche,Piemonte,Torino,Busano
Ma vosta nona a v'la fa nen la pulenta tute le smane? ,Piemonte,Torino,Bussoleno
Ma vustra nona au fa nin la pulenta tuti li smani? ,Piemonte,Torino,Cafasse
Ma vostra nona a v'la fa pa la pulenta tute le smane?,Piemonte,Torino,Cantalupa
Ma la nona a v n la fa la polenta tut le seman?,Piemonte,Torino,Carignano
Ma vostra nona a v'la nen la polenta tute le smane,Piemonte,Torino,Carignano
Ma vosa nona av fa nin la pulenta tute la smane?,Piemonte,Torino,Castellamonte
ma vostra nona no ve ła fa ła połenta tute łe setimane?,Piemonte,Torino,Castellamonte
Non saprei,Piemonte,Torino,Chivasso
La nona tla fa la pulenta tutle smane?,Piemonte,Torino,Chivasso
ma votra nonna fa nen la pulenta tutche le semane?,Piemonte,Torino,Chivasso
Ma vostra no a fa nella polenta tute le smane,Piemonte,Torino,Collegno
Ma tua nona at fa pa la pulenta tute le smane?,Piemonte,Torino,Condove
Non,Piemonte,Torino,Ivrea
.,Piemonte,Torino,Ivrea
Ma vosta nona av la fa nen la pulenta tute le smane?,Piemonte,Torino,Lanzo Torinese
Ma vostra nòna nen ve fa la polenta tute le duminica?,Piemonte,Torino,Marentino
Ma tua nona a tla fa nin la pulenta tute le smane? ,Piemonte,Torino,Mercenasco
Vostra nona a fa nen la pulenta tute le smane?,Piemonte,Torino,Moncalieri
ma vustra nona 'n v' la cüsina la pulenta tüte le smane?,Piemonte,Torino,Oglianico
Ma vòsta nòna av fà-la nen mangé 'd giàuna minca sman-a?,Piemonte,Torino,Orbassano
Ma vostra nona a u fa nen la polenta tute le sman'e,Piemonte,Torino,Pianezza
Ma votro gramamà î vou fai-lo pâ la poulënto toutta laz ësmana?,Piemonte,Torino,Pinerolo
Ma vostra nona a'v fa pa' la pulenta tüe le sman'e? ,Piemonte,Torino,Pinerolo
Ma vostr nona no ve fé la poenta tut la smana?,Piemonte,Torino,Piobesi Torinese
Ma vustra non au fa papi la pultenta tute le smane,Piemonte,Torino,Piscina
Ma vosta nona au fa nen la pulenta tute ji smane?,Piemonte,Torino,Poirino
Ma vostra nona a la fa nen la polenta tute le smane?,Piemonte,Torino,Poirino
-,Piemonte,Torino,Pralormo
Ma vi nona ve fa nen la pujenta tui le smane?,Piemonte,Torino,Riva presso Chieri
Ma tua Nona a la fa la pulenta tute le smane?,Piemonte,Torino,Rivarossa
Ma voestra nonna nu ve fa a pulenta tûtte e settiman-ne?,Piemonte,Torino,Rivoli
Ma voestra noenna nu ve fa a pulenta tütte e settimann-e?,Piemonte,Torino,Rivoli
ma vostra nona a fa nen a polenta tut e semane?,Piemonte,Torino,Rivoli
Ma vosta nona a fa nen la pulenta tute le smane?,Piemonte,Torino,San Francesco al Campo
Ma la tò nona nen te prépara la polenta tuti i seteman.,Piemonte,Torino,San Gillio
Ma tu nona at fa el pulentun tut le semane?,Piemonte,Torino,San Mauro Torinese
/,Piemonte,Torino,San Mauro Torinese
Ma vostra nona av fa ben la pulenta tute le smane? ,Piemonte,Torino,San Mauro Torinese
ma vostra nonna non ve la fa la pulent tutte le settimane?,Piemonte,Torino,Sangano
Ta nona a fa nen la polenta the le smane,Piemonte,Torino,Scalenghe
Vustra nona a la fa nen la pulenta tut le sm'nne?,Piemonte,Torino,Settimo Torinese
Ma tua nona at la fa la pulenta tute le smane,Piemonte,Torino,Settimo Torinese
Vostra nona a la fa nen la polenta tute le smane a voi auti?,Piemonte,Torino,Settimo Torinese
Vòstra nona a fa nen la pulenta tute le smane?,Piemonte,Torino,Settimo Torinese
Ma la vostra nona non ghe la fa puienta tute le settimane?,Piemonte,Torino,Settimo Torinese
Ma vostra nona fa nen la pulenta tute gli a smane,Piemonte,Torino,Settimo Vittone
Ma vossa nona at fa nen pulenta tute gl'a smane? ,Piemonte,Torino,Settimo Vittone
Ma vòstra granda a la fa nen la polenta tute le sman-e?,Piemonte,Torino,Susa
"Ma vostra nona, a la fa nen la polenta a voiautri tute le semane ? ",Piemonte,Torino,Torino
Ma to nona a t'fa nent la pulenta tüti l'sma‐ni?,Piemonte,Torino,Torino
S'ajaja de dos'attrusu no da faidi sa polenta tuttusu sa sghidasa ?,Piemonte,Torino,Torino
Ma vostra nona ve la fa nen la pulenta tute le setimane?,Piemonte,Torino,Torino
Ma tua nona at fa nin la pulenta tute le smane?,Piemonte,Torino,Torino
Ma tua nona la fa nen la polenta tute l' smaine?,Piemonte,Torino,Torino
-,Piemonte,Torino,Torino
Vostra nona a fasia nen la pulenta tute le semane? ,Piemonte,Torino,Torino
Vostra nona non ve a prepara e pulenta titte e semaine?,Piemonte,Torino,Torino
Ma vostra nonna non ve la fa la polenta tutte le settimane,Piemonte,Torino,Torino
Ma a nonna vostr nun va fa a polent tutt i sittiman!,Piemonte,Torino,Torino
Ma vostra nona av fa nen la pulenta tuti le smani?,Piemonte,Torino,Torino
Nona ve la fa nen la pulenta tute le smanne? ,Piemonte,Torino,Torino
Ma vostra nona a v'la fa mai la pulenta?,Piemonte,Torino,Torino
Ma to nonna un ta fa a polenta tutti i simane?,Piemonte,Torino,Torino
Non so,Piemonte,Torino,Torino
.,Piemonte,Torino,Torino
Non saprei,Piemonte,Torino,Torino
Ma vostra nona a'v fa nen la polenta tute le smane?,Piemonte,Torino,Torino
Non so,Piemonte,Torino,Torino
Ma vostra nona vla fa nen la pulenta tute le smane?,Piemonte,Torino,Torino
Ma vostra nona av fa nen la pulenta tute le smane?,Piemonte,Torino,Torino
Ma vostra nona a'v fa nen la polenta tute le smane?,Piemonte,Torino,Torino
Ma votra nona a la fa la polenta tute le smane ?,Piemonte,Torino,Torino
"Ma tua nona, a 'tla fa la pulenta tute le semane?",Piemonte,Torino,Torino
Non parlo il dialetto ,Piemonte,Torino,Torino
Ma la vostra nona a fan nen la pulenta tute le smane?,Piemonte,Torino,Torino
Ma vosa nona a vla fà la pulenta tute le smane,Piemonte,Torino,Torino
Non la so,Piemonte,Torino,Torino
Non so tradurla,Piemonte,Torino,Torino
Ma vostra nona avla fa nen la pulenta tute le smane?,Piemonte,Torino,Torino
.,Piemonte,Torino,Torino
Ma vostra nonna nun ve fa la polenta tutte le settimane?,Piemonte,Torino,Torino
Ma ti nonna t'fa nen la pulente tut le smane?,Piemonte,Torino,Torino
Ma la vosta mare granda an fa pà la polenta tut-e le ësmane?,Piemonte,Torino,Torino
Non lo so ,Piemonte,Torino,Torino
 ---,Piemonte,Torino,Torino
non la so ,Piemonte,Torino,Torino
ma vostro nonna nun ve fa la polenta tutte le settimene?,Piemonte,Torino,Torino
boh,Piemonte,Torino,Torino
ma voss nona non fa la beda tute le smane?,Piemonte,Torino,Torino
ma vostr non la fè nen la polenta tut le smane?,Piemonte,Torino,Torino
.,Piemonte,Torino,Torino
Ma vostra nona nun ie fa la pölenta tute le smane?,Piemonte,Torino,Torino
.,Piemonte,Torino,Torino
Ma vostra nonna vi fa la polenta tutte le settimane?,Piemonte,Torino,Torino
Ma votra nona non ve fa na polenta tu te semen,Piemonte,Torino,Torino
"ma vo nona nun la fa mia la pulenta tuta la semana (spero sia scritto giusto, si legge così)",Piemonte,Torino,Torino
Bohhh,Piemonte,Torino,Torino
Ma vostra nonna non va faci a pulenta tutti i settimani,Piemonte,Torino,Torino
Non riesco,Piemonte,Torino,Trofarello
Ma vötra nona nun v'la fa' la pulenta tüt le smane?,Piemonte,Torino,Valperga
Ma to nona tla fa nen la pulenta tuti le smani?,Piemonte,Torino,Verolengo
caccaculo,Piemonte,Torino,Verrua Savoia
Ma vostra nona ad fa nen la pulenta tute le sman'e?,Piemonte,Torino,Vestignè
Ma vostra nona a v'la fa pa la pulenta tute le smane?,Piemonte,Torino,Villar Perosa
ma vostra nona at fa pa la pulenta tutè le smanghe,Piemonte,Torino,Virle Piemonte
..,Piemonte,Torino,Volvera
Ma la ve nona 'n ve la faj mja la pulenta tode le smane?,Piemonte,Verbano-Cusio-Ossola,Domodossola
-,Piemonte,Verbano-Cusio-Ossola,Domodossola
-,Piemonte,Verbano-Cusio-Ossola,Santa Maria Maggiore
Ma la vosctra mamaa la fa mia pulenta ogni scmana/ titt i scmann??,Piemonte,Verbano-Cusio-Ossola,Toceno
Ma la te nona la fa minga la polenta tutte le settimane?,Piemonte,Verbano-Cusio-Ossola,Verbania
Ma la nona de voi altri la fa mia la polenta tute le smane,Piemonte,Vercelli,Alagna Valsesia
Ma toa nona la fa mia la poenta tute i smane,Piemonte,Vercelli,Alagna Valsesia
Ma tua nona t'la fa nen la pulenta tuti la smani?,Piemonte,Vercelli,Santhià
"Ma vosta nona, la fa mia pulenta tüti  ja smani?",Piemonte,Vercelli,Varallo
Vosa nona lu fa nen la polenta tuti l'asmani?,Piemonte,Vercelli,Vercelli
Ma votra nora n've fa la polenta tutta la s'mana?,Piemonte,Vercelli,Vercelli
Ma vosa nona vlu fa nent la pulenta tuti ja smani,Piemonte,Vercelli,Villata
Ma la vòsta nòna un vi fa la puléinta tót al stmèni?,San Marino,NA,Città di San Marino
Ma la nouna un v'la fa la polenta tut le setman?,San Marino,NA,Città di San Marino
Ma la vostra nona l'an vi la fa la pulenta tut'al stmeni?,San Marino,NA,Città di San Marino
Ma la vust nona un la fa la puleinta tutt' al smeni?,San Marino,NA,Città di San Marino
La vósta nòna l'àn  lvlá fá la pulèinta tòt al smèni?,San Marino,NA,Città di San Marino
Ma la to nona t'as cùsina mia la polenta tütt i sètiman?,Ticino,Bellinzona,Bellinzona
Ma la vosa nona va la fa mia la pulenta tüt i setiman? ,Ticino,Bellinzona,Bellinzona
La nona va la fa mia la polenta tùc i setiman?,Ticino,Bellinzona,Bellinzona
Ma la vosa nona la v'la fa mia la pulenta tüt i setiman?,Ticino,Bellinzona,Bellinzona
Ma la vosa nona va la fa mia la polenta tüt i setiman? ,Ticino,Bellinzona,Bellinzona
Ma la vostra nonna non ve fa la polenta tuc i setiman?,Ticino,Bellinzona,Bellinzona
Ma er vostro nono lev là fa mia er pulenta tucc i setiman,Ticino,Bellinzona,Bellinzona
La vosa nona la va fa mia la polenta tuch i setiman?,Ticino,Bellinzona,Bellinzona
Ma vustra nuna va fa la pulenta tüt i seman? ,Ticino,Bellinzona,Bellinzona
Ma la vostra nona a fa mia la polenta tuc i satmena?,Ticino,Bellinzona,Bellinzona
Ma la vostra non va la fa mia la polenta tüt i setiman?,Ticino,Bellinzona,Bellinzona
Ma la voshtra nona la va fa mia la polenta tüch i setiman? ,Ticino,Bellinzona,Isone
Ma la vo nona la fa mia la polenta tut i settiman? ,Ticino,Bellinzona,Sant'antonino
Ma la vosa nona va la fa mia la polenta gialda tüt i setiman?,Ticino,Blenio,Blenio
Ma la vosa nonna la va fa mi la polento tucc i setiman,Ticino,Leventina,Faido
Ma la tua nona non ti fä la polenta tüt i di? ,Ticino,Locarno,Ascona
Ma la dona la fa michia la pulenta tut i setiman?,Ticino,Locarno,Centovalli
Ma ar vosa nona l'av fa mia ar polenta tüt i settiman?,Ticino,Locarno,Gordola
Ma la tö Nonna la cüsina la polenta tüc i seman? ,Ticino,Locarno,Locarno
Ma vosctra nona va fa mia la polenta tut i setiman,Ticino,Locarno,Locarno
Ma la to nona la ta fa mia la polenta tücc i settiman?  ,Ticino,Locarno,Locarno
Ma la vos nonna a ve la fa mia la polenta tüc i settiman?,Ticino,Locarno,Locarno
Ma la vò nona la va fa mia la polenta tücc i setiman?,Ticino,Locarno,Locarno
Ma la vostra nona u fa mia la polenta tuci i setiman?,Ticino,Locarno,Locarno
"Ma la vostra nona, ve la fa miga la polenta tütti settiman",Ticino,Locarno,Locarno
La vosa nona la va fa mìa la polénta tuc i sétimàn? ,Ticino,Locarno,Losone
-,Ticino,Locarno,Minusio
Ma la cosa nona la va fa mia la la polenta tüt i setiman?,Ticino,Locarno,Muralto
Ma la vossa nona la va cüsina mia la polenta tüch i setiman?,Ticino,Locarno,Orselina
La toa nona fa mia la polenta tüc i settiman?,Ticino,Locarno,Terre Di Pedemonte
Ma er vosa nona lav fa mia er polenta tücc setiman?,Ticino,Locarno,Verzasca
La vosctra nona la fa mia la polenta tucc i setiman?,Ticino,Lugano,Agno
Ma la vostra nona la va fa mia la pulente tuc i settimani?,Ticino,Lugano,Agno
La to' nona la fa mia la polenta tut i settiman?,Ticino,Lugano,Alto Malcantone
La vossa nona la ta fa mia la pulenta tutt i settiman?,Ticino,Lugano,Aranno
Ma la nona la va fa mia la polenta tücc i setiman?,Ticino,Lugano,Aranno
Ma la vossa nona non ve fa la pulenta tucc i seman?,Ticino,Lugano,Capriasca
La vöstra nona al fa pu la pulenta tut le setiman?,Ticino,Lugano,Lugano
La vosa nona va la fà mia la pülenta tüc i setimani?,Ticino,Lugano,Lugano
ma vostra nonna la fa mia la polenta tüt i seman? ,Ticino,Lugano,Lugano
Ma la vosa nona la fà mia la pulenta tüt i setiman?,Ticino,Lugano,Lugano
Ma la to nona la ta fa mia la pulenta tut i setimsn?,Ticino,Lugano,Lugano
Ma la vos nona la va la fa mia la polenta tut i setiman,Ticino,Lugano,Lugano
Ma al tu nonna la fa mia la pulenta tut i semani?,Ticino,Lugano,Lugano
Ma a' nonna vostr' nun ve cucin' a polenta tutt e settiman?,Ticino,Lugano,Lugano
Ma la tua nona non ti a fa a pulenta toch le semane?,Ticino,Lugano,Massagno
Ma la vostra nona va fa mia la pulenta tutch i setiman ,Ticino,Lugano,Massagno
"Ma là tu nona, la fa mia la polenta tut i dumenic?",Ticino,Lugano,Porza
Ma la vo nona gha va fa mia la polenta tüc i setiman?,Ticino,Lugano,Torricella-Taverne
La vostra nona fa mia la pulenta tüt i setiman?,Ticino,Lugano,Vezia
La to nona ta la fa mia la pulenta tutti i settiman,Ticino,Mendrisio,Castel San Pietro
Ma la voštra nona la va fa mia la pulenta tut i setiman?,Ticino,Mendrisio,Coldrerio
Ma la vossa nona va la fa mia la pulenta tüti i setiman,Ticino,Mendrisio,Mendrisio
Ma la vosa nona va la fa mia la polenta tut i setiman?,Ticino,Mendrisio,Mendrisio
La to nona la ta fa mia la pulenta tucc i setiman?,Ticino,Mendrisio,Mendrisio
Ma la vosa nona va fa mia la pulenta tuch i setiman?,Ticino,Mendrisio,Stabio
Ma la vosctra nona a va la fa mia la pulenta tüti i setiman?,Ticino,Mendrisio,Stabio
Ma la vòssa nona va la fa piü la pulenta tüt i setiman?,Ticino,Mendrisio,Stabio
Ma la vosta nona la fa mia la polenta tuc i setiman?,Ticino,Mendrisio,Stabio
Ma vòssa ava la nó u r'a fa mighia lá re polènta tücc i satmann?,Ticino,Riviera,Biasca
"Ma ra vòssa ava, la u fá mighia tücc i satmágn, ra polenta?",Ticino,Riviera,Biasca
Ma la vosa nona la va fa mia la polenta tuc i setiman?,Ticino,Riviera,Riviera
Ma la voschtra nona la va faseva mia la polenta tucc i setiman?,Ticino,Vallemaggia,Cevio
Vostra nona non ve fa la polenta tutte le settimane ,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Bolzano
Non esiste a bozen il dialetto ,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Bolzano
Vosa Nona la cosina semper polenta ogni setina?,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Bolzano
.,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Bolzano
Ma la Oma non ghe fa a polenta ogne setmana?,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Brunico
Ma vosta nona ne ve felo la polenta dute le setemane?,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,Brunico
La vosa nona no ve fa miga la polenta tute le setemane,Trentino-Alto Adige/Südtirol,Trento,Andalo
ma vosa nona no la ve fa la polenta tute le stemane?,Trentino-Alto Adige/Südtirol,Trento,Andalo
non lo so ,Trentino-Alto Adige/Südtirol,Trento,Arco
Ma vosa nona an fa a polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Brentonico
ma vosa nona no i ve la fa la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Brentonico
Ma la vosa nona no la va fat la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Calceranica al Lago
Ma vósa nona no Ve fala pu la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Calceranica al Lago
Ma vostra nona no la ve la fa la polenta tutte le stimane?,Trentino-Alto Adige/Südtirol,Trento,Castel Ivano
Ma la to nona non la te la fa la polenta tute le senmane?,Trentino-Alto Adige/Südtirol,Trento,Cles
Ma to nona no la ve fa la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Grigno
Ma vosa nona no la ve fa la polenta tute le stemane?,Trentino-Alto Adige/Südtirol,Trento,Imer
Ma to nonna non a fa a pulenta tutti i simani?,Trentino-Alto Adige/Südtirol,Trento,Mori
Ma vòssa nòna no ve fala la polènta tute le stimàne?,Trentino-Alto Adige/Südtirol,Trento,Nago-Torbole
Ma vòsa nona no la ve fa polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Panchià
Ma vosa giava no la ve fas pù la polenta tute le setemane?,Trentino-Alto Adige/Südtirol,Trento,Predazzo
Ma so nona no ve fala polenta tute le semane?,Trentino-Alto Adige/Südtirol,Trento,Predazzo
Ma vosa nona no ve la fa poenta tute le setimane,Trentino-Alto Adige/Südtirol,Trento,Riva del Garda
Ma vòsa nona non ve fa la polenta tode le settimane?,Trentino-Alto Adige/Südtirol,Trento,Riva del Garda
Ma vosa nona no la ve fa la polenta tute le semane?,Trentino-Alto Adige/Südtirol,Trento,Ronzone
ma  to nona no te  la fala la  polenta  tute le  setimane,Trentino-Alto Adige/Südtirol,Trento,Rovereto
ma vosa  nona no la fa la polenta  de  spess,Trentino-Alto Adige/Südtirol,Trento,Rovereto
Ma vosa nona no ve fa la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Rovereto
Ma vosa nona no la ve fa la polenta tute le stemane?,Trentino-Alto Adige/Südtirol,Trento,Rovereto
La vossa nona no la ve la fa la polenta tute le semane? ,Trentino-Alto Adige/Südtirol,Trento,Rovereto
Ma to nona lo la fa la polenta tute le setimane,Trentino-Alto Adige/Südtirol,Trento,Rovereto
vosa nona no la ve fa la polenta tutte le settimane?,Trentino-Alto Adige/Südtirol,Trento,Rovereto
ma vosa nona no ve fa miga la pastocia ogni setimana?,Trentino-Alto Adige/Südtirol,Trento,Rovereto
Ma vostra Nona no ve fala la polenta tute le stimane ?,Trentino-Alto Adige/Südtirol,Trento,Telve
Ma vostra nona no ve fala mia la polenta tute le setimane?,Trentino-Alto Adige/Südtirol,Trento,Trento
"Ma vostra nona, ne ve a fa a poenta tute e setimane?",Trentino-Alto Adige/Südtirol,Trento,Trento
Ma vosa nona non la ve fa la polenta tute le setimane?,Trentino-Alto Adige/Südtirol,Trento,Trento
To nona no ve la fa la polenta tot le setimane?,Trentino-Alto Adige/Südtirol,Trento,Trento
Ma vostra none no v'la fa la pulënta dut le setmane,Trentino-Alto Adige/Südtirol,Trento,Trento
"non lo parlo, fammi skippare la domanda",Trentino-Alto Adige/Südtirol,Trento,Trento
Ma vostra nonna non ve fa polenta tutte le settimane ,Trentino-Alto Adige/Südtirol,Trento,Trento
non lo so,Trentino-Alto Adige/Südtirol,Trento,Trento
Ma la vostra nona no ve la fa la polenta tuti i setimani?,Trentino-Alto Adige/Südtirol,Trento,Trento
la,Trentino-Alto Adige/Südtirol,Trento,Trento
ma vosa nona no ve la fa la polenta tute le stimane,Trentino-Alto Adige/Südtirol,Trento,Trento
A,Trentino-Alto Adige/Südtirol,Trento,Trento
Ma vosa nona no ve fala la polenta tute le stimane?,Trentino-Alto Adige/Südtirol,Trento,Trento
Tia nonna te fii pa la polenta tchuette le senaa?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Aosta
Ma la vosa nona a v fa nen la pulenta tuti li smani? ,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Aymavilles
Ma la vosa nóna av fa nèn la pulenta tüti li smani? ,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Aymavilles
Mi voutra mammagràn non vé la fée la polénta totte le sémane,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Brissogne
Ma vutra nonna vu ne la Fait pa la polenta tcheutte le sena?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Brissogne
ma nonna ve fi pas la polenta totte le samane,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Charvensod
Ma nonan de vó vó fé la polenta totte le senaa?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Etroubles
Mi vouha gran mée fa t-i po la polenta totte le senaa? ,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Introd
Mii vouha magan vo fa-tí po' la polenta totte le senaa?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Introd
ma la vuoha granmee vo se la fa po la polenta totte le sanaa,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Introd
ma ta nonna ve fei pou la polenta totte le sena?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,La Salle
Mèi vöfra nonna vö-se fë pö la polenta tsaqque senàa?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Morgex
Ma veutra nonna vo se fet la polenta tottes les senas?,Valle d'Aosta/Vallée d'Aoste,Valle d'Aosta/Vallée d'Aoste,Verrayes
Ma vosa nona no la ve fa la polenta ogni setimana?,Veneto,Belluno,Agordo
Ma to non ve fa la polenta tute le semane,Veneto,Belluno,Alano di Piave
Ma vostra nona non fala la polenta tute le setimane?,Veneto,Belluno,Alpago
Ma vostra nona no ve fa la polenta tute le semane?,Veneto,Belluno,Alpago
ma vostra nona non la ve fa la polenta tute le settimane?,Veneto,Belluno,Arsiè
Ma vostra nona ne ve fei la polenta dute le stemane?,Veneto,Belluno,Auronzo di Cadore
La nona non ve fa la polenta tutte le settimane?,Veneto,Belluno,Belluno
Ma vostra nona non ve fa a poenta tutte le settimane?,Veneto,Belluno,Belluno
ma ostra nona no la ve fa la polenta tute le setimane? ,Veneto,Belluno,Belluno
ma to nona non ghe la fala la polenta tutte le settimane ,Veneto,Belluno,Belluno
Ma vostra nona non la Ve fa la polenta ogni settimana?,Veneto,Belluno,Belluno
Ma vostra nona no la ve fa la polenta dute le stemane?,Veneto,Belluno,Borca di Cadore
Ma to nona non ve fa la polenta tute le semane,Veneto,Belluno,Borgo Valbelluna
Ma vostra nona no ve fa a poenta tute e semane? ,Veneto,Belluno,Borgo Valbelluna
Ma vostra nona no ghe la fa la polenta tute le settimane?,Veneto,Belluno,Borgo Valbelluna
Ma to nona no la te fa la polenta ogni setimana? ,Veneto,Belluno,Borgo Valbelluna
Ostra nona no la ve fa la polenta tute le setimane?,Veneto,Belluno,Cesiomaggiore
Ma vostra nona non ve la fa la polenta tutte le settimane?,Veneto,Belluno,Cesiomaggiore
ma la vostra nona no la ve fa la polenta tute le setimane?,Veneto,Belluno,Cesiomaggiore
Ma vostra nona no la ve fa la polenta tute le stemane? ,Veneto,Belluno,Falcade
Ma vostra nona non ve la fa la poenta tute le semane?,Veneto,Belluno,Feltre
To Nona non te paricia la polenta tutte le settimane ,Veneto,Belluno,Feltre
Ma a vostra nona no a ve fa a poenta tute e setimane?,Veneto,Belluno,Feltre
Ma to nona no la te fa polenta tute le stimane? ,Veneto,Belluno,Feltre
Ma ostra nona no la ve fa a polenta tute le stimane?,Veneto,Belluno,Fonzaso
Ma vossa nona no la ve fa la polenta tute le stemane?,Veneto,Belluno,Lamon
Ma vostra nona no ve la fa la polenta tute le setimane?,Veneto,Belluno,Limana
Ma vostra nona no Ve fesc la polenta dute le setemane?,Veneto,Belluno,Livinallongo del Col di Lana
ma to nona no te fa la polenta tute le settimane?,Veneto,Belluno,Longarone
To nona non la Ve fa la poenta dute le semane?,Veneto,Belluno,Pieve di Cadore
Ma to Nona non la fa la polenta dute le Semane?,Veneto,Belluno,Pieve di Cadore
ma to nona non ve fa polenta tuti i di?,Veneto,Belluno,Ponte nelle Alpi
ma la ostra nona no ve fa la poenta tute le settimane?,Veneto,Belluno,Ponte nelle Alpi
Ma vostra nona no la ve fa la polenta tute le setimane?,Veneto,Belluno,Ponte nelle Alpi
Ma la ostra nona no la ve fa la poenta tute e setimane? ,Veneto,Belluno,Ponte nelle Alpi
Vostra nona no la fa la polenta ogni setimana?,Veneto,Belluno,Quero Vas
Ma vosta nona ve fala polenta ogni stemana?,Veneto,Belluno,San Tomaso Agordino
Ma so nona no la ghe fa polenta tute le settimane?,Veneto,Belluno,Santa Giustina
Ma to nona no la te fa la polenta la domenega,Veneto,Belluno,Sedico
To nona non ve fa la polenta tute le setimane?,Veneto,Belluno,Sedico
Ma ostra Nona no a fa a polenta tute e setimane ,Veneto,Belluno,Seren del Grappa
Ma vosa nona no ve fa la poenta tutte e settimane?,Veneto,Belluno,Sospirolo
Ma to nona no la ve fa la polenta tute le setimane ,Veneto,Belluno,Sospirolo
Ma vosta nona no ve menesreela polenta dute le stemane,Veneto,Belluno,Val di Zoldo
